NAMELSAD,B02001e1,B02001e2,B02001e3,B02001e4,B02001e5,B02001e6,B02001e7,B17001e1,B17001e2,B17001e3,B17001e4,B17001e5,B17001e6,B17001e7,B17001e8,TotalMinor,TotalSnr,cancer_cru,casthma_cr,chd_crudep,copd_crude,GEOID
Census Tract 7395,7964.000000000000000,6095.000000000000000,364.000000000000000,0.000000000000000,1101.000000000000000,0.000000000000000,32.000000000000000,7940.000000000000000,395.000000000000000,156.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2158.000000000000000,1366.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027739500
Census Tract 7281,5335.000000000000000,4798.000000000000000,156.000000000000000,12.000000000000000,145.000000000000000,25.000000000000000,11.000000000000000,5335.000000000000000,297.000000000000000,145.000000000000000,15.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,18.000000000000000,1316.000000000000000,878.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027728100
Census Tract 7308.01,4196.000000000000000,3603.000000000000000,121.000000000000000,0.000000000000000,246.000000000000000,0.000000000000000,70.000000000000000,4129.000000000000000,196.000000000000000,93.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,717.000000000000000,903.000000000000000,10.900000000000000,11.100000000000000,6.600000000000000,5.200000000000000,25027730801
Census Tract 7312.02,1634.000000000000000,1200.000000000000000,127.000000000000000,0.000000000000000,143.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,0.000000000000000,0.800000000000000,16.199999999999999,1.000000000000000,3.100000000000000,25027731202
Census Tract 7371,5116.000000000000000,4455.000000000000000,126.000000000000000,0.000000000000000,152.000000000000000,0.000000000000000,82.000000000000000,5116.000000000000000,262.000000000000000,114.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43.000000000000000,0.000000000000000,979.000000000000000,1071.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027737100
Census Tract 7352,4274.000000000000000,3752.000000000000000,186.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,80.000000000000000,4158.000000000000000,181.000000000000000,147.000000000000000,0.000000000000000,0.000000000000000,15.000000000000000,5.000000000000000,0.000000000000000,616.000000000000000,874.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027735200
Census Tract 7315,4927.000000000000000,2322.000000000000000,631.000000000000000,0.000000000000000,419.000000000000000,0.000000000000000,495.000000000000000,4866.000000000000000,1496.000000000000000,700.000000000000000,0.000000000000000,0.000000000000000,129.000000000000000,90.000000000000000,0.000000000000000,930.000000000000000,690.000000000000000,5.800000000000000,13.800000000000001,8.600000000000000,9.699999999999999,25027731500
Census Tract 7322.01,3002.000000000000000,1853.000000000000000,597.000000000000000,0.000000000000000,307.000000000000000,0.000000000000000,163.000000000000000,3002.000000000000000,399.000000000000000,136.000000000000000,0.000000000000000,0.000000000000000,33.000000000000000,0.000000000000000,0.000000000000000,352.000000000000000,648.000000000000000,7.700000000000000,12.100000000000000,6.400000000000000,6.300000000000000,25027732201
Census Tract 7322.02,4249.000000000000000,2966.000000000000000,109.000000000000000,8.000000000000000,552.000000000000000,0.000000000000000,269.000000000000000,4249.000000000000000,142.000000000000000,61.000000000000000,17.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,815.000000000000000,494.000000000000000,7.200000000000000,12.000000000000000,5.400000000000000,5.600000000000000,25027732202
Census Tract 7324,7525.000000000000000,4080.000000000000000,2229.000000000000000,74.000000000000000,202.000000000000000,0.000000000000000,675.000000000000000,7349.000000000000000,1363.000000000000000,732.000000000000000,139.000000000000000,0.000000000000000,107.000000000000000,123.000000000000000,15.000000000000000,2192.000000000000000,357.000000000000000,5.000000000000000,13.300000000000001,6.100000000000000,7.400000000000000,25027732400
Census Tract 7326,4218.000000000000000,2441.000000000000000,486.000000000000000,0.000000000000000,93.000000000000000,0.000000000000000,229.000000000000000,4210.000000000000000,1072.000000000000000,283.000000000000000,0.000000000000000,0.000000000000000,91.000000000000000,11.000000000000000,2.000000000000000,1009.000000000000000,692.000000000000000,4.900000000000000,13.900000000000000,6.000000000000000,7.700000000000000,25027732600
Census Tract 7327,3819.000000000000000,2254.000000000000000,861.000000000000000,0.000000000000000,56.000000000000000,0.000000000000000,5.000000000000000,3795.000000000000000,434.000000000000000,158.000000000000000,9.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,613.000000000000000,406.000000000000000,6.000000000000000,12.500000000000000,5.700000000000000,6.100000000000000,25027732700
Census Tract 7329.01,7298.000000000000000,4169.000000000000000,1741.000000000000000,0.000000000000000,208.000000000000000,0.000000000000000,396.000000000000000,7251.000000000000000,1169.000000000000000,419.000000000000000,72.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1479.000000000000000,837.000000000000000,6.600000000000000,12.900000000000000,6.200000000000000,6.800000000000000,25027732901
Census Tract 7329.02,3050.000000000000000,2571.000000000000000,139.000000000000000,7.000000000000000,141.000000000000000,9.000000000000000,50.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.800000000000000,13.600000000000000,0.900000000000000,2.100000000000000,25027732902
Census Tract 7325,1723.000000000000000,969.000000000000000,200.000000000000000,9.000000000000000,100.000000000000000,0.000000000000000,248.000000000000000,1723.000000000000000,503.000000000000000,286.000000000000000,25.000000000000000,0.000000000000000,18.000000000000000,12.000000000000000,0.000000000000000,248.000000000000000,218.000000000000000,4.900000000000000,13.100000000000000,6.400000000000000,7.300000000000000,25027732500
Census Tract 7330,3727.000000000000000,2114.000000000000000,521.000000000000000,55.000000000000000,420.000000000000000,0.000000000000000,92.000000000000000,3727.000000000000000,930.000000000000000,463.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47.000000000000000,6.000000000000000,703.000000000000000,197.000000000000000,4.700000000000000,12.699999999999999,6.200000000000000,7.200000000000000,25027733000
Census Tract 7331.01,2488.000000000000000,1697.000000000000000,208.000000000000000,1.000000000000000,63.000000000000000,0.000000000000000,76.000000000000000,2488.000000000000000,169.000000000000000,68.000000000000000,34.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,446.000000000000000,328.000000000000000,7.800000000000000,12.300000000000001,6.400000000000000,6.400000000000000,25027733101
Census Tract 7292,2697.000000000000000,2413.000000000000000,36.000000000000000,7.000000000000000,9.000000000000000,0.000000000000000,41.000000000000000,2688.000000000000000,201.000000000000000,90.000000000000000,0.000000000000000,0.000000000000000,19.000000000000000,0.000000000000000,0.000000000000000,487.000000000000000,715.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,25027729200
Census Tract 7301,7213.000000000000000,4562.000000000000000,1022.000000000000000,0.000000000000000,669.000000000000000,0.000000000000000,295.000000000000000,7213.000000000000000,441.000000000000000,227.000000000000000,20.000000000000000,0.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,1456.000000000000000,672.000000000000000,7.900000000000000,12.199999999999999,6.000000000000000,5.800000000000000,25027730100
Census Tract 7302,6852.000000000000000,5253.000000000000000,813.000000000000000,0.000000000000000,229.000000000000000,0.000000000000000,207.000000000000000,6810.000000000000000,885.000000000000000,218.000000000000000,42.000000000000000,0.000000000000000,15.000000000000000,34.000000000000000,0.000000000000000,1485.000000000000000,1241.000000000000000,9.100000000000000,12.400000000000000,7.800000000000000,8.100000000000000,25027730200
Census Tract 7303,5469.000000000000000,4137.000000000000000,568.000000000000000,0.000000000000000,365.000000000000000,0.000000000000000,62.000000000000000,5361.000000000000000,531.000000000000000,362.000000000000000,0.000000000000000,0.000000000000000,157.000000000000000,68.000000000000000,0.000000000000000,1041.000000000000000,500.000000000000000,8.300000000000001,12.400000000000000,6.500000000000000,6.500000000000000,25027730300
Census Tract 7304.01,5855.000000000000000,3290.000000000000000,1256.000000000000000,0.000000000000000,104.000000000000000,0.000000000000000,562.000000000000000,5697.000000000000000,989.000000000000000,239.000000000000000,25.000000000000000,0.000000000000000,38.000000000000000,35.000000000000000,0.000000000000000,993.000000000000000,1148.000000000000000,8.000000000000000,12.400000000000000,7.500000000000000,7.300000000000000,25027730401
Census Tract 7331.02,2470.000000000000000,1613.000000000000000,323.000000000000000,0.000000000000000,273.000000000000000,0.000000000000000,145.000000000000000,2423.000000000000000,333.000000000000000,178.000000000000000,0.000000000000000,0.000000000000000,29.000000000000000,5.000000000000000,18.000000000000000,615.000000000000000,338.000000000000000,6.500000000000000,11.800000000000001,5.700000000000000,5.700000000000000,25027733102
Census Tract 7307,7460.000000000000000,5558.000000000000000,809.000000000000000,10.000000000000000,484.000000000000000,31.000000000000000,137.000000000000000,7330.000000000000000,1132.000000000000000,461.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,21.000000000000000,0.000000000000000,1630.000000000000000,1475.000000000000000,9.300000000000001,11.699999999999999,7.100000000000000,6.700000000000000,25027730700
